model,base_model,finetuned_dataset,eval_accuracy,task_type,learning_rate,batch_size,num_epochs,created_at,last_modified,license,downloads,row_type
AutoBot000/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,text-classification,,,,,2026-02-20T12:04:45.000Z,,3,finetune
Kapilydv6/my-first-sentiment-model,distilbert-base-uncased,imdb,,text-classification,,,,,2026-03-18T11:51:57.000Z,,3,finetune
kckdeepak/imdb-distilbert-sentiment-analysis,distilbert-base-uncased,imdb,,text-classification,,,,,2026-03-27T15:11:40.000Z,,3,finetune
jongador/bert-imdb-256,bert-base-uncased,imdb,,text-classification,,,,,2026-05-10T04:33:58.000Z,,3,finetune
manaalsheikh36/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,text-classification,,,,,2026-04-21T11:19:37.000Z,,3,finetune
Asmatullah-AI-Engineer/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,text-classification,,,,,2026-04-21T10:26:27.000Z,,3,finetune
Shafiullahbjr226091/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,text-classification,,,,,2026-04-21T18:26:55.000Z,,3,finetune
nayabzahoor/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,text-classification,,,,,2026-04-21T15:13:12.000Z,,3,finetune
rafianaveed/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,text-classification,,,,,2026-04-21T11:57:23.000Z,,3,finetune
BlessedDovis/distilbert-sentiment-analysis,distilbert-base-uncased,imdb,,text-classification,,,,,2026-04-21T12:36:55.000Z,,3,finetune
umbermalik/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,text-classification,,,,,2026-04-21T14:31:50.000Z,,3,finetune
kashansohrab/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,text-classification,,,,,2026-04-24T15:51:00.000Z,,3,finetune
Zeddy67/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,text-classification,,,,,2026-04-21T14:43:37.000Z,,3,finetune
akhtarghazi7/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,text-classification,,,,,2026-04-22T19:16:01.000Z,,3,finetune
Aitazaz123/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,text-classification,,,,,2026-04-24T10:32:26.000Z,,3,finetune
jongador/cnn-imdb-512,,imdb,,text-classification,,,,,2026-05-10T04:35:56.000Z,,3,finetune
federicopascual/finetuning-sentiment-model-3000-samples-testcopy,distilbert-base-uncased,imdb,0.87,text-classification,2e-05,16,2.0,,2022-01-04T14:34:49.000Z,,2,finetune
madhav16/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.86,text-classification,2e-05,16,2.0,,2022-03-19T20:26:25.000Z,,2,finetune
Roshan777/finetuning-sentiment-model-300-samples,distilbert-base-uncased,imdb,0.6833,text-classification,2e-05,16,2.0,,2022-03-26T12:54:48.000Z,,2,finetune
Manishkalra/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.87,text-classification,2e-05,16,2.0,,2022-04-14T11:04:35.000Z,,2,finetune
ttwj-sutd/finetuning-sentiment-model-3000-samples-6pm,distilbert-base-uncased,imdb,0.88,text-classification,1e-05,16,11.0,,2022-04-17T10:33:50.000Z,,2,finetune
peringe/finetuning-sentiment-model-3000-samples-pi,distilbert-base-uncased,imdb,0.8633,text-classification,2e-05,16,2.0,,2022-04-27T08:58:12.000Z,,2,finetune
AbhiNaiky/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8733,text-classification,2e-05,16,2.0,,2022-04-28T22:34:39.000Z,,2,finetune
KoenBronstring/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8733,text-classification,2e-05,16,2.0,,2022-05-04T17:53:58.000Z,,2,finetune
guhuawuli/distilbert-imdb,distilbert-base-uncased,imdb,,text-classification,5e-05,64,1.0,,2022-05-04T10:57:23.000Z,,2,finetune
Wakaka/bert-finetuned-imdb,bert-base-uncased,imdb,0.866,text-classification,5e-05,8,3.0,,2022-05-06T06:38:19.000Z,,2,finetune
beltran/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8567,text-classification,2e-05,16,2.0,,2022-12-01T14:00:25.000Z,,2,finetune
ocm/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,text-classification,2e-05,16,2.0,,2022-05-22T16:12:20.000Z,,2,finetune
wuxiaofei/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.86,text-classification,2e-05,2,2.0,,2022-05-31T15:12:52.000Z,,2,finetune
olivia371/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.925,text-classification,2e-05,16,2.0,,2022-06-14T15:05:10.000Z,,2,finetune
johntang/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,text-classification,2e-05,16,2.0,,2022-07-13T14:02:11.000Z,,2,finetune
JHart96/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.86,text-classification,2e-05,16,2.0,,2022-06-29T18:20:13.000Z,,2,finetune
rahuldebdas79/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8667,text-classification,2e-05,16,2.0,,2022-07-18T18:40:24.000Z,,2,finetune
MiguelCosta/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,text-classification,2e-05,16,4.0,,2022-07-12T06:06:41.000Z,,2,finetune
MiguelCosta/finetuning-sentiment-model-24000-samples,distilbert-base-uncased,imdb,0.9267,text-classification,2e-05,16,4.0,,2022-07-12T10:48:14.000Z,,2,finetune
ymcnabb/finetuning-sentiment-model,distilbert-base-uncased,imdb,0.8733,text-classification,2e-05,16,2.0,,2022-07-12T13:17:58.000Z,,2,finetune
Malanga/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.87,text-classification,2e-05,16,2.0,,2022-07-19T09:49:05.000Z,,2,finetune
rajistics/distilbert-imdb-mlflow,distilbert-base-uncased,imdb,,text-classification,5e-05,8,1.0,,2023-05-01T15:14:10.000Z,,2,finetune
sunilkumardash9/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8667,text-classification,2e-05,16,2.0,,2022-08-07T12:16:22.000Z,,2,finetune
lilrhexi/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8633,text-classification,2e-05,16,2.0,,2022-08-11T07:24:26.000Z,,2,finetune
Zul/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.87,text-classification,2e-05,16,2.0,,2022-08-15T07:40:04.000Z,,2,finetune
jzonthemtn/distilbert-imdb,distilbert-base-uncased,imdb,,text-classification,,,,,2023-12-20T15:00:25.000Z,,2,finetune
KedirAhmed/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8667,text-classification,2e-05,16,2.0,,2022-08-25T16:38:38.000Z,,2,finetune
SiddharthaM/bert-engonly-sentiment-test,distilbert-base-uncased,imdb,0.8967,text-classification,2e-05,16,5.0,,2022-09-13T14:16:50.000Z,,2,finetune
bibekitani123/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8667,text-classification,2e-05,16,2.0,,2022-09-16T14:46:45.000Z,,2,finetune
Panos/finetuning-sentiment-model-imdb,distilbert-base-uncased,imdb,0.9309,text-classification,2e-05,16,2.0,,2022-09-18T18:58:24.000Z,,2,finetune
eligabel/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8167,text-classification,2e-05,16,2.0,,2022-10-03T18:12:07.000Z,,2,finetune
lilykaw/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.6633,text-classification,2e-05,16,2.0,,2022-10-03T18:14:03.000Z,,2,finetune
ad7/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.77,text-classification,2e-05,16,2.0,,2022-10-03T18:18:09.000Z,,2,finetune
jinhqian/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.82,text-classification,2e-05,16,2.0,,2023-04-16T19:11:32.000Z,,2,finetune
lilykaw/finetuning-sentiment-BERT-model-samples,bert-base-uncased,imdb,0.86,text-classification,2e-05,16,10.0,,2022-10-04T18:23:44.000Z,,2,finetune
Tidrael/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.88,text-classification,2e-05,16,2.0,,2022-10-04T10:59:45.000Z,,2,finetune
svenvonnatzmer/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.5,text-classification,2e-05,16,2.0,,2022-10-04T21:55:25.000Z,,2,finetune
gvin/test,distilbert-base-uncased,imdb,0.88,text-classification,2e-05,16,2.0,,2022-10-11T03:24:06.000Z,,2,finetune
martinsenden/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8933,text-classification,5e-05,16,1.0,,2022-10-13T15:29:41.000Z,,2,finetune
slipoz/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8633,text-classification,2e-05,16,2.0,,2022-10-18T09:29:40.000Z,,2,finetune
xiaoding/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8733,text-classification,2e-05,16,2.0,,2022-10-18T18:09:06.000Z,,2,finetune
Karnezis/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,text-classification,2e-05,16,2.0,,2022-10-27T13:42:25.000Z,,2,finetune
d2lee/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8633,text-classification,2e-05,16,2.0,,2022-10-21T18:43:29.000Z,,2,finetune
Meow412/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8667,text-classification,2e-05,16,2.0,,2022-10-22T00:57:39.000Z,,2,finetune
abhijithsraj/finetuning-sentiment-model,distilbert-base-uncased,imdb,0.8633,text-classification,2e-05,16,2.0,,2022-10-23T09:54:03.000Z,,2,finetune
Bictole/NLP_DEEP_2,distilbert-base-uncased,imdb,,text-classification,,,,,2023-05-03T14:24:17.000Z,,2,finetune
Etelis/IMDB_roBERTa_5E,roberta-base,imdb,0.9467,text-classification,1e-05,32,5.0,,2022-11-01T08:01:43.000Z,,2,finetune
Etelis/IMDB_DistilBERT_5EEE,distilbert-base-uncased,imdb,0.9333,text-classification,1e-05,16,5.0,,2022-11-01T09:07:57.000Z,,2,finetune
Etelis/IMDB_ELECTRA_5E,google/electra-base-discriminator,imdb,0.9533,text-classification,1e-05,16,5.0,,2022-11-01T13:37:25.000Z,,2,finetune
google/electra-base-discriminator,,imdb,0.9533,text-classification,1e-05,16,5.0,,2022-11-01T13:37:25.000Z,,,lineage
Etelis/IMDB_ALBERT_5E,albert-base-v2,imdb,0.9467,text-classification,1e-05,32,5.0,,2022-11-01T17:39:50.000Z,,2,finetune
david-whittaker-td/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.88,text-classification,2e-05,16,2.0,,2022-11-08T12:58:44.000Z,,2,finetune
Berdy96/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.88,text-classification,2e-05,16,2.0,,2022-11-10T23:27:14.000Z,,2,finetune
bwhite5311/NLP-sentiment-project-2001-samples,distilbert-base-uncased,imdb,0.9998,text-classification,2e-05,20,15.0,,2022-11-19T01:21:00.000Z,,2,finetune
manirai91/enlm-roberta-imdb-final,xlm-roberta-base,imdb,,text-classification,1e-05,32,10.0,,2022-12-01T10:04:39.000Z,,2,finetune
xlm-roberta-base,,imdb,,text-classification,1e-05,32,10.0,,2022-12-01T10:04:39.000Z,,,lineage
muhtasham/finetuned-base_small,bert-base-uncased,imdb,0.8942,text-classification,3e-05,32,200.0,,2022-12-02T09:36:50.000Z,,2,finetune
muhtasham/finetuned-mlm_medium,bert-base-uncased,imdb,0.9542,text-classification,3e-05,128,200.0,,2022-12-03T03:41:32.000Z,,2,finetune
muhtasham/finetuned-mlm_base,bert-base-uncased,imdb,0.9222,text-classification,3e-05,50,200.0,,2022-12-03T04:44:39.000Z,,2,finetune
muhtasham/finetuned-self_mlm_mini,bert-base-uncased,imdb,0.8224,text-classification,3e-05,128,200.0,,2022-12-06T22:56:50.000Z,,2,finetune
muhtasham/finetuned-self_mlm_small,bert-base-uncased,imdb,0.9372,text-classification,3e-05,64,200.0,,2022-12-07T09:58:47.000Z,,2,finetune
muhtasham/finetuned-self_mlm_medium,bert-base-uncased,imdb,0.913,text-classification,3e-05,32,200.0,,2022-12-07T11:07:57.000Z,,2,finetune
sachinshinde/sentiment-model-imdb-small-demo,distilbert-base-uncased,imdb,0.8667,text-classification,2e-05,16,2.0,,2022-12-07T16:22:20.000Z,,2,finetune
sachinshinde/sentiment-model-imdb-small-3000-demo,distilbert-base-uncased,imdb,0.8567,text-classification,2e-05,16,2.0,,2022-12-07T17:45:03.000Z,,2,finetune
jangxyz/my_awesome_model,distilbert-base-uncased,imdb,0.9308,text-classification,2e-05,16,2.0,,2022-12-08T09:19:46.000Z,,2,finetune
laihanel/sentiment-analysis_gwu,distilbert-base-uncased,imdb,0.5047,text-classification,2e-05,8,2.0,,2022-12-10T23:30:40.000Z,,2,finetune
muhtasham/small-vanilla-target-imdb,bert-base-uncased,imdb,0.8146,text-classification,3e-05,32,200.0,,2022-12-11T02:19:12.000Z,,2,finetune
muhtasham/base-vanilla-target-imdb,bert-base-uncased,imdb,0.9604,text-classification,3e-05,32,200.0,,2022-12-11T03:17:09.000Z,,2,finetune
muhtasham/tiny-mlm-imdb-target-imdb,bert-base-uncased,imdb,0.8895,text-classification,3e-05,32,200.0,,2022-12-11T03:22:48.000Z,,2,finetune
muhtasham/mini-mlm-imdb-target-imdb,bert-base-uncased,imdb,0.9502,text-classification,3e-05,32,200.0,,2022-12-11T03:30:57.000Z,,2,finetune
muhtasham/small-mlm-imdb-target-imdb,bert-base-uncased,imdb,0.9174,text-classification,3e-05,32,200.0,,2022-12-11T03:43:44.000Z,,2,finetune
muhtasham/medium-mlm-imdb-target-imdb,bert-base-uncased,imdb,0.9064,text-classification,3e-05,32,200.0,,2022-12-11T04:00:58.000Z,,2,finetune
muhtasham/tiny-mlm-tweet-target-imdb,bert-base-uncased,imdb,0.8486,text-classification,3e-05,32,200.0,,2022-12-11T04:49:46.000Z,,2,finetune
muhtasham/mini-mlm-tweet-target-imdb,bert-base-uncased,imdb,0.8324,text-classification,3e-05,32,200.0,,2022-12-11T04:56:45.000Z,,2,finetune
muhtasham/small-mlm-tweet-target-imdb,bert-base-uncased,imdb,0.8878,text-classification,3e-05,32,200.0,,2022-12-11T05:07:45.000Z,,2,finetune
muhtasham/medium-mlm-tweet-target-imdb,bert-base-uncased,imdb,0.9363,text-classification,3e-05,32,200.0,,2022-12-11T05:41:16.000Z,,2,finetune
muhtasham/base-mlm-tweet-target-imdb,bert-base-uncased,imdb,0.9437,text-classification,3e-05,32,200.0,,2022-12-11T06:30:12.000Z,,2,finetune
Camelia7v/bert-sentiment-analysis-model-25k-samples,bert-base-uncased,imdb,0.9395,text-classification,2e-05,16,2.0,,2022-12-20T20:21:36.000Z,,2,finetune
BlackBert/BERT_IMDB,distilbert-base-uncased,imdb,0.929,text-classification,2e-05,16,2.0,,2023-01-08T06:59:48.000Z,,2,finetune
Laurie/sentiment-classify,distilbert-base-uncased,imdb,0.9303,text-classification,2e-05,16,2.0,,2023-01-30T14:56:36.000Z,,2,finetune
yashas123/finetuning-sentiment-model,distilbert-base-uncased,imdb,0.8567,text-classification,2e-05,1,1.0,,2023-02-07T12:09:00.000Z,,2,finetune
GCAd/my_awesome_model,distilbert-base-uncased,imdb,0.9319,text-classification,2e-05,16,2.0,,2023-02-09T16:06:47.000Z,,2,finetune
mrizalf7/FirstTextClassification,distilbert-base-uncased,imdb,0.9313,text-classification,2e-05,16,2.0,,2023-02-11T09:56:26.000Z,,2,finetune
geniusguy777/finetuning-distilbert-movie-classification,distilbert-base-uncased,imdb,0.9284,text-classification,2e-05,16,10.0,,2023-04-01T13:19:30.000Z,,2,finetune
mikebs/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,,text-classification,2e-05,16,2.0,,2023-03-06T18:49:14.000Z,,2,finetune
samiryehia/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.5,text-classification,2e-05,16,2.0,,2023-03-06T18:49:27.000Z,,2,finetune
lynnyassine/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.5667,text-classification,2e-05,16,2.0,,2023-03-06T18:46:05.000Z,,2,finetune
mahdinah/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.52,text-classification,2e-05,16,2.0,,2023-03-06T18:47:17.000Z,,2,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed1234-group0,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T19:12:21.000Z,,4,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed42-group0,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T16:58:45.000Z,,3,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed7-group1,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T18:55:19.000Z,,3,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed91011-group0,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T19:47:32.000Z,,3,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed91011-group1,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T19:48:05.000Z,,3,finetune
marcellobullo/maxmin-imdb-reward-clustering-prop0.05-seed42-group0,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-13T15:22:07.000Z,,3,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed42-group1,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-13T01:20:38.000Z,,2,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed14-group0,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T17:25:35.000Z,,2,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed14-group1,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T17:26:34.000Z,,2,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed28-group0,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T17:43:03.000Z,,2,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed28-group1,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T17:43:57.000Z,,2,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed73-group0,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T18:00:52.000Z,,2,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed73-group1,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T18:01:46.000Z,,2,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed100-group0,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T18:18:53.000Z,,2,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed100-group1,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T18:19:34.000Z,,2,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed2025-group0,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T18:36:25.000Z,,2,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed2025-group1,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T18:37:12.000Z,,2,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed7-group0,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T18:54:37.000Z,,2,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed1234-group1,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T19:13:05.000Z,,2,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed5678-group0,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T19:29:55.000Z,,1,finetune
marcellobullo/maxmin-imdb-reward-clustering-seed5678-group1,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-12T19:30:28.000Z,,1,finetune
marcellobullo/maxmin-imdb-reward-clustering-prop0.05-seed42-group1,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-13T15:23:32.000Z,,1,finetune
marcellobullo/maxmin-imdb-reward-clustering-prop0.2-seed14-group0,,marcellobullo/gpt2-imdb-raw,,text-classification,,,,,2025-10-13T16:40:56.000Z,,0,finetune
saiteki-kai/QA-ModernBERT-large,,beavertails,0.6608,text-classification,3e-05,32,10.0,,2025-11-16T19:22:56.000Z,,6,finetune
saiteki-kai/QA-ModernBERT-large,,saiteki-kai/Beavertails-it,0.6608,text-classification,3e-05,32,10.0,,2025-11-16T19:22:56.000Z,,6,finetune
saiteki-kai/QA-DeBERTa-v3-large-threshold-smoothing-v2,microsoft/deberta-v2-xlarge,beavertails,0.6746,text-classification,5e-06,64,10.0,,2025-11-18T20:57:34.000Z,,5,finetune
microsoft/deberta-v2-xlarge,,beavertails,0.6746,text-classification,5e-06,64,10.0,,2025-11-18T20:57:34.000Z,,,lineage
saiteki-kai/QA-DeBERTa-v3-large-threshold-smoothing-v2,microsoft/deberta-v2-xlarge,saiteki-kai/Beavertails-it,0.6746,text-classification,5e-06,64,10.0,,2025-11-18T20:57:34.000Z,,5,finetune
microsoft/deberta-v2-xlarge,,saiteki-kai/Beavertails-it,0.6746,text-classification,5e-06,64,10.0,,2025-11-18T20:57:34.000Z,,,lineage
saiteki-kai/QA-DeBERTa-v3-large-binary-3,microsoft/deberta-v2-xlarge,beavertails,0.8622,text-classification,5e-06,64,10.0,,2025-11-19T00:04:42.000Z,,5,finetune
saiteki-kai/QA-DeBERTa-v3-large-binary-3,microsoft/deberta-v2-xlarge,saiteki-kai/Beavertails-it,0.8622,text-classification,5e-06,64,10.0,,2025-11-19T00:04:42.000Z,,5,finetune
saiteki-kai/QA-DeBERTa-v3-large-threshold-SEP-Focal,microsoft/deberta-v2-xlarge,beavertails,0.6685,text-classification,1e-05,64,10.0,,2025-11-17T02:23:33.000Z,,4,finetune
